"%s","%s"
"%s already exist.","%s 는 이미 존재 합니다."
"%s already exists.","%s 는 이미 존재 합니다."
"-- Please Select --","-- 선택하세요 --"
"File %s does not exist","%s 파일이 존재하지 않습니다."
"File %s is not readable","%s 파일을 읽을 수 없습니다."
"File not found","파일을 찾을 수 없습니다."
"File system","File system"
"File with an extension ""%value%"" is protected and cannot be uploaded","File with an extension ""%value%"" is protected and cannot be uploaded"
"First Day of Week","주초 선택"
"Flush Cache Storage","캐시 저장소 비우기"
"Flush Magento Cache","마젠토 캐시 비우기"
"Footer","Footer"
"Forgot Password Email Sender","비밀번호 찾기 전송메일"
"Forgot Password Email Template","비밀번호 찾기 템플릿"
"General","General"
"General Contact","General Contact"
"General Contact Email","General Contact Email"
"General Contact Name","General Contact Name"
"General Settings","General Settings"
"Get info about current Magento installation","Get info about current Magento installation"
"Global","Global"
"HTML Head","HTML Head"
"HTML tags are not allowed","HTML tags are not allowed"
"Header","Header"
"Host","Host"
"How many links to display at once.","How many links to display at once."
"ID Path for Specified Store","ID Path for Specified Store"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","If the current frame position does not cover utmost pages, will render link to current position plus/minus this value."
"Incorrect credit card expiration date.","Incorrect credit card expiration date."
"Input type ""%value%"" not found in the input types list.","Input type ""%value%"" not found in the input types list."
"Invalid URL '%value%'.","Invalid URL '%value%'."
"Invalid base url type","Invalid base url type"
"Invalid block name to set child %s: %s","Invalid block name to set child %s: %s"
"Invalid block type: %s","Invalid block type: %s"
"Invalid block: %s","Invalid block: %s"
"Invalid connection","Invalid connection"
"Invalid date","잘못된 날짜"
"Invalid layout update handle","Invalid layout update handle"
"Invalid messages storage ""%s"" for layout messages initialization","Invalid messages storage ""%s"" for layout messages initialization"
"Invalid query","잘못된 query"
"Invalid transactional email code: %s","Invalid transactional email code: %s"
"Invalid website\'s configuration path: %s","Invalid website\'s configuration path: %s"
"JavaScript Settings","JavaScript Settings"
"Layout","Layout"
"Leave empty for access from any location.","모든 장소에서 접속하시려면 비워놓으세요."
"List of stores","상점목록"
"Locale","위치"
"Locale Options","Locale Options"
"Log Settings","Log Settings"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logging from Mage::log(). File is located in {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging from Mage::logException(). File is located in {{base_dir}}/var/log"
"Login is Case Sensitive","Login is Case Sensitive"
"Logo Image","Logo Image"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Magento info","Magento info"
"Magento info API","Magento info API"
"Mail Sending Settings","Mail Sending Settings"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","URL의 마지막은 '/'로 끝나야 합니다. ex) http://yourdomain/magento/"
"Manage Stores","Manage Stores"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Media Storage","Media Storage"
"Merge CSS Files","Merge CSS Files"
"Merge JavaScript Files","Merge JavaScript Files"
"Miscellaneous HTML","Miscellaneous HTML"
"Miscellaneous Scripts","Miscellaneous Scripts"
"Model collection resource name is not defined.","Model collection resource name is not defined."
"Module ""%1$s"" cannot depend on ""%2$s"".","Module ""%1$s"" cannot depend on ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Module ""%1$s"" requires module ""%2$s""."
"Name","Name"
"New Design Change","New Design Change"
"New Store","New Store"
"New Store View","New Store View"
"New Website","New Website"
"No","No"
"Offloader header","Offloader header"
"PHP SOAP extension is required.","PHP SOAP extension is required."
"Package","Package"
"Pagination","Pagination"
"Pagination Frame","Pagination Frame"
"Pagination Frame Skip","Pagination Frame Skip"
"Parent directory does not exist: %s","Parent directory does not exist: %s"
"Path ""%value%"" is not available and cannot be used.","Path ""%value%"" is not available and cannot be used."
"Path ""%value%"" is protected and cannot be used.","Path ""%value%"" is protected and cannot be used."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Path ""%value%"" may not include parent directory traversal (""../"", ""..\\)."""
"Please define flag code.","Please define flag code."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Please enter 7 or more characters. Password should contain both numeric and alphabetic characters."
"Please enter a number 0 or greater in this field.","0보다 큰 값을 입력하셔야 합니다."
"Please enter a number 1 or greater in this field.","1보다 큰 값을 입력하셔야 합니다."
"Please enter a number greater than 0 in this field.","Please enter a number greater than 0 in this field."
"Please enter a number lower than 100.","Please enter a number lower than 100."
"Please enter a valid $ amount. For example $100.00.","Please enter a valid $ amount. For example $100.00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Please enter a valid URL. For example http://www.example.com or www.example.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Please enter a valid URL. Protocol is required (http://, https:// or ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Please enter a valid XML-identifier. For example something_1, block5, id-4."
"Please enter a valid credit card number.","Please enter a valid credit card number."
"Please enter a valid credit card verification number.","Please enter a valid credit card verification number."
"Please enter a valid date between %s and %s","Please enter a valid date between %s and %s"
"Please enter a valid date equal to or greater than %s","Please enter a valid date equal to or greater than %s"
"Please enter a valid date less than or equal to %s","Please enter a valid date less than or equal to %s"
"Please enter a valid date.","Please enter a valid date."
"Please enter a valid day (1-%d).","Please enter a valid day (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Please enter a valid email address. For example johndoe@domain.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890."
"Please enter a valid full date","Please enter a valid full date"
"Please enter a valid month (1-12).","Please enter a valid month (1-12)."
"Please enter a valid number in this field.","Please enter a valid number in this field."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Please enter a valid social security number. For example 123-45-6789."
"Please enter a valid year (1900-%d).","Please enter a valid year (1900-%d)."
"Please enter a valid zip code.","Please enter a valid zip code."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Please enter a valid zip code. For example 90602 or 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Please enter issue number or start date for switch/solo card type."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%."
"Please make sure your passwords match.","Please make sure your passwords match."
"Please select State/Province.","Please select State/Province."
"Please select a file","Please select a file"
"Please select an option.","Please select an option."
"Please select one of the above options.","Please select one of the above options."
"Please select one of the options.","옵션중의 하나를 선택해주세요."
"Please set available and/or protected paths list(s) before validation.","Please set available and/or protected paths list(s) before validation."
"Please specify either a category or a product, or both.","Please specify either a category or a product, or both."
"Please use letters only (a-z or A-Z) in this field.","Please use letters only (a-z or A-Z) in this field."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Please use only visible characters and spaces.","Please use only visible characters and spaces."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006."
"Please wait, loading...","Please wait, loading..."
"Polls","Polls"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Recovery Link Expiration Period (days)","복구링크 만기 (일)"
"Request Path for Specified Store","Request Path for Specified Store"
"Request path length exceeds allowed %s symbols.","Request path length exceeds allowed %s symbols."
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Requested file may not include parent directory traversal (""../"", ""..\\ notation)"""
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set.","Resource is not set."
"Retrieve info about current Magento installation","Retrieve info about current Magento installation"
"Retrieve store data","Retrieve store data"
"Retrieve store list","Retrieve store list"
"Return-Path Email","Return-Path Email"
"Root Category","루트 카테고리"
"Sales Representative","Sales Representative"
"Sales Representative Contact Email","Sales Representative Contact Email"
"Sales Representative Contact Name","Sales Representative Contact Name"
"Save","Save"
"Save Store","Save Store"
"Save Store View","Save Store View"
"Save Website","Save Website"
"Search Engines Optimization","Search Engines Optimization"
"Secure","Secure"
"Security","보안"
"Select Date","날자선택"
"Select Media Database","Media DB 선택"
"Sender Email","전송자 이메일"
"Sender Name","전송자명"
"Services","Services"
"Session Cookie Management","세션쿠키 관리"
"Session Lifetime (seconds)","세션시간 (초)"
"Session Validation Settings","Session Validation Settings"
"Set Return-Path","Set Return-Path"
"Set as Default","Set as Default"
"Skin (Images / CSS)","Skin (Images / CSS)"
"Sort Order","Sort Order"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Start date cannot be greater than end date.","Start date cannot be greater than end date."
"Startup Page","시작 페이지"
"Status","상태"
"Storage Configuration for Media","Storage Configuration for Media"
"Store","Store"
"Store API","Store API"
"Store Contact Address","상점 고객지원 주소"
"Store Contact Information","상점 고객지원 정보"
"Store Contact Telephone","상점 고객지원실 전화번호"
"Store Email Addresses","상점 이메일 주소"
"Store Information","상점 정보"
"Store Name","상점 명"
"Store View","상점 뷰"
"Store View Information","상정 뷰 정보"
"Store View Name","상점 뷰 명"
"Store view doesn't exist","상점 뷰가 없습니다."
"Store with the same code","Store with the same code"
"System","시스템"
"System Log File Name","시스템 로그파일명"
"Template Path Hints","템플릿 Path Hints"
"Template Settings","템플릿 설정"
"Template Variables","템플릿 변수"
"Templates","Templates"
"Text length does not satisfy specified text range.","Text length does not satisfy specified text range."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"The From Date value should be less than or equal to the To Date value.","The From Date value should be less than or equal to the To Date value."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter"
"The store does not exist","The store does not exist"
"The store has been deleted.","The store has been deleted."
"The store has been saved.","The store has been saved."
"The store view has been deleted.","The store view has been deleted."
"The store view has been saved","The store view has been saved"
"The template Name must not be empty.","The template Name must not be empty."
"The value is not within the specified range.","The value is not within the specified range."
"The website does not exist.","The website does not exist."
"The website has been deleted.","The website has been deleted."
"The website has been saved.","The website has been saved."
"Themes","테마"
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","This category and its child categories only"
"This category and its products only","This category and its products only"
"This category only","This category only"
"This date is a required value.","This date is a required value."
"This is a required field.","This is a required field."
"This store cannot be deleted.","This store cannot be deleted."
"This store view cannot be deleted.","This store view cannot be deleted."
"This website cannot be deleted.","This website cannot be deleted."
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"This will be included before head closing tag in page HTML.","This will be included before head closing tag in page HTML."
"Timezone","Timezone"
"Title Prefix","제목 Prefix"
"Title Suffix","제목 Suffix"
"Transactional Emails","트렌젝션 이메일"
"Translate Inline","Translate Inline"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Translate, blocks and other output caches should be disabled for both frontend and admin inline translations."
"Translations","Translations"
"Two and more slashes together are not permitted in request path","Two and more slashes together are not permitted in request path"
"Two and more slashes together are not permitted in url rewrite suffix","Two and more slashes together are not permitted in url rewrite suffix"
"Unable to create directory: %s","Unable to create directory: %s"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"Unable to proceed. Please, try again","진행할 수 없습니다. 다시 시도하시기 바랍니다."
"Unable to proceed. Please, try again.","진행할 수 없습니다. 다시 시도하시기 바랍니다."
"Unable to save file ""%s"" at ""%s""","""%s"" 에서 ""%s"" 파일로 저장할 수 없습니다."
"Unable to save file: %s","파일을 저장할 수 없습니다: %s"
"Unknown old style column type definition: {$definition}.","알려지지 않은 이전 방식의 컬럼 정의: {$definition}."
"Unknown scope ""%s"".","알수없는 영역 ""%s""."
"Unsecure","Unsecure"
"Url Options","Url 옵션"
"Use Custom Admin Path","관리페이지 Path 사용자 설정"
"Use Custom Admin URL","관리페이지 URL 사용자 설정"
"Use HTTP Only","Use HTTP Only"
"Use SID on Frontend","프론트에서 SID 사용"
"Use Secure URLs in Admin","관리자에서 Secure URLs 사용"
"Use Secure URLs in Frontend","프론트에서 Secure URLs 사용"
"Use Web Server Rewrites","Web Server Rewrites 사용"
"VAT Number","VAT 번호"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT 검증"
"Validate HTTP_VIA","HTTP_VIA 검증"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR 검증"
"Validate REMOTE_ADDR","REMOTE_ADDR 검증"
"Validation has failed.","검증이 실패되었습니다."
"Values less than 60 are ignored. Note that changes will apply after logout.","Values less than 60 are ignored. Note that changes will apply after logout."
"Variable Code must be unique.","Variable Code must be unique."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk."
"Web","Web"
"Website","웹사이트"
"Website Information","웹사이트 정보"
"Website Name","웹사이트 명"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","웹사이트 코드는 영문 소문자(a-z), 숫자(0-9), _ 문자만 가능하며 첫문자는 문자여야 합니다."
"Website with the same code","동일한 웹사이트 코드"
"Weekend Days","주말관리"
"Welcome Text","환영문자"
"Wrong file info format","Wrong file info format"
"Wrong number of arguments for %s","%s의 잘못된 번호 변수"
"Wrong old style column type definition: {$definition}.","잘못된 이전 방식의 컬럼 타입 정의: {$definition}."
"Yes","Yes"
"You will have to log in after you save your custom admin path.","관리자 Path를 변경후 다시 로그인 하셔야 합니다."
"Your design change for the specified store intersects with another one, please specify another date range.","Your design change for the specified store intersects with another one, please specify another date range."
"database ""%s""","database ""%s"""
