"# of Use","# of Use"
"%1$s incl tax.","%1$s 세금 포함."
"%s - %s","%s - %s"
"%s Item(s)","%s 상품"
"%s and above","%s 이상"
"An error occurred while saving the collection, aborting. Error message: %s","An error occurred while saving the collection, aborting. Error message: %s"
"An error occurred while saving the product. ","An error occurred while saving the product. "
"An error occurred while saving the search query.","An error occurred while saving the search query."
"An error occurred while saving this group.","An error occurred while saving this group."
"An error occurred while saving this review.","An error occurred while saving this review."
"An error occurred while trying to delete the category.","An error occurred while trying to delete the category."
"An error occurred while updating the product(s) attributes.","An error occurred while updating the product(s) attributes."
"An error occurred while updating the product(s) status.","An error occurred while updating the product(s) status."
"An invalid group ID is specified, skipping the record.","An invalid group ID is specified, skipping the record."
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"An invalid store was specified.","An invalid store was specified."
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes."
"Apply MAP (Default Value)","Apply MAP (Default Value)"
"Apply To","Apply To"
"Approved","Approved"
"Are you sure you want to delete this category?","정말 카테고리가 삭제 하시겠습니까?"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove this item from the compare products?","Are you sure you would like to remove this item from the compare products?"
"Are you sure?","Are you sure?"
"As low as:","As low as:"
"Assign","Assign"
"Assign product link","Assign product link"
"Assign product to category","Assign product to category"
"Assigned Products","Assigned Products"
"Associated Products","Associated Products"
"Attrib. Set Name","Attrib. Set Name"
"Attribute ""%s"" is invalid.","Attribute ""%s"" is invalid."
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute Information","Attribute Information"
"Attribute Model","Attribute Model"
"Attribute Name:","Attribute Name:"
"Attribute Set","Attribute Set"
"Attribute Sets","Attribute Sets"
"Attribute add","Attribute add"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attribute group with the \"/name/\" name already exists","속성 그룹에 \"/name/\"이 이미 존재 합니다."
"Attribute group with the \/name/\ name already exists","속성 그룹에 \/name/\이 이미 존재 합니다."
"Attribute remove","Attribute remove"
"Attribute with the same code already exists","Attribute with the same code already exists"
"Attributes","Attributes"
"Attrribute names can be specified per store.","Attrribute names can be specified per store."
"Autogenerate","Autogenerate"
"Availability:","Availability:"
"Back","Back"
"Backend Model","Backend Model"
"Backend Table","Backend Table"
"Backend Table Title","Backend Table Title"
"Backorders","Backorders"
"Based On","Based On"
"Before Order Confirmation","Before Order Confirmation"
"Best Value","Best Value"
"Block after Info Column","Block after Info Column"
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Bottom/Left","Bottom/Left"
"Bottom/Right","Bottom/Right"
"Browse By","Browse By"
"Bundle Items","Bundle Items"
"Buy %1$s","Buy %1$s"
"Buy %1$s for","Buy %1$s for"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"Cache refresh needed.","Cache refresh needed."
"Can be Divided into Multiple Boxes for Shipping","Can be Divided into Multiple Boxes for Shipping"
"Can be used only with catalog input type Dropdown","Can be used only with catalog input type Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Can\'t create image.","Can\'t create image."
"Cancel","Cancel"
"Cannot create image.","Cannot create image."
"Cannot create writeable directory '%s'.","Cannot create writeable directory '%s'."
"Cart Item Attribute","Cart Item Attribute"
"Catalog","Catalog"
"Catalog Category (Anchor)","Catalog Category (Anchor)"
"Catalog Category (Non-Anchor)","Catalog Category (Non-Anchor)"
"Catalog Category (Without Subcategories)","Catalog Category (Without Subcategories)"
"Catalog Category Link","Catalog Category Link"
"Catalog New Products List","Catalog New Products List"
"Catalog Price Scope","Catalog Price Scope"
"Catalog Product Compare List","Catalog Product Compare List"
"Catalog Product Email to a Friend","Catalog Product Email to a Friend"
"Catalog Product Image Gallery Popup","Catalog Product Image Gallery Popup"
"Catalog Product Link","Catalog Product Link"
"Catalog Product View (Any)","Catalog Product View (Any)"
"Catalog Product View (Configurable)","Catalog Product View (Configurable)"
"Catalog Product View (Grouped)","Catalog Product View (Grouped)"
"Catalog Product View (Simple)","Catalog Product View (Simple)"
"Catalog Product View (Virtual)","Catalog Product View (Virtual)"
"Catalog Section","Catalog Section"
"Catalog Seo Sitemap (Category List)","Catalog Seo Sitemap (Category List)"
"Catalog Seo Sitemap (Category Tree)","Catalog Seo Sitemap (Category Tree)"
"Catalog Seo Sitemap (Common)","Catalog Seo Sitemap (Common)"
"Catalog Seo Sitemap (Product List)","Catalog Seo Sitemap (Product List)"
"Catalog URL Rewrites","Catalog URL Rewrites"
"Catalog product custom option values API","Catalog product custom option values API"
"Catalog product custom options API","Catalog product custom options API"
"Catalog\, Search","Catalog\, Search"
"Categories","Categories"
"Categories Sitemap","Categories Sitemap"
"Category","카테고리"
"Category API","Category API"
"Category Data","Category Data"
"Category Flat Data","Category Flat Data"
"Category Link Block Template","Category Link Block Template"
"Category Link Inline Template","Category Link Inline Template"
"Category Products","Category Products"
"Category Top Navigation","Category Top Navigation"
"Category URL Suffix","Category URL Suffix"
"Category attributes API","Category attributes API"
"Category move error","Category move error"
"Category move error %s","Category move error %s"
"Category move operation is not possible: parent category is equal to child category.","Category move operation is not possible: parent category is equal to child category."
"Category move operation is not possible: the current category was not found.","Category move operation is not possible: the current category was not found."
"Category move operation is not possible: the new parent category was not found.","Category move operation is not possible: the new parent category was not found."
"Category must be an instance of Mage_Catalog_Model_Category.","Category must be an instance of Mage_Catalog_Model_Category."
"Center","Center"
"Change","Change"
"Change or Retrieve attribute store view","Change or Retrieve attribute store view"
"Change status","Change status"
"Check items to add to the cart or","Check items to add to the cart or"
"Choose an Option...","Choose an Option..."
"Clear All","Clear All"
"Clear Price","Clear Price"
"Click for price","Click for price"
"Close Window","Close Window"
"Collapse All","Collapse All"
"Comma-separated.","Comma-separated."
"Comparable","Comparable"
"Comparable on Front-end","Comparable on Front-end"
"Comparable on the Frontend","Comparable on the Frontend"
"Compare","비교"
"Compare Products","상품비교"
"Conditions Combination","Conditions Combination"
"Configurable Product","복합 상품"
"Configurable Product Settings","Configurable Product Settings"
"Configure Product","상품 구성"
"Continue","계속하기"
"Copy From Configurable","Copy From Configurable"
"Country/State","국가/주"
"Create","생성"
"Create (Upload)","생성 (업로드)"
"Create Empty","빈페이지 생성"
"Create Permanent Redirect for URLs if URL Key Changed","Create Permanent Redirect for URLs if URL Key Changed"
"Create Permanent Redirect for old URL","Create Permanent Redirect for old URL"
"Create Product Settings","상품 설정 생성"
"Create Simple Associated Product","Create Simple Associated Product"
"Create attribute set based on another set","Create attribute set based on another set"
"Create new attribute","신규 속성 생성"
"Create new category","신규 카테고리 생성"
"Create new product","신규 상품 생성"
"Cross-sells","Cross-sells"
"Currently Shopping by:","Currently Shopping by:"
"Custom Design","사용자 디자인"
"Custom Options","사용자 옵션"
"Custom options","사용자 옵션"
"Customer Group","사용자 그룹"
"Customers Reviews","고객리뷰"
"Customers Tagged Product","고객테그"
"Data Type for Saving in Database","Data Type for Saving in Database"
"Date & Time Custom Options","사용자 옵션 시간"
"Date Fields Order","Date Fields Order"
"Date Subscribed","Date Subscribed"
"Datetime","Datetime"
"Decimal","소수"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default ""What's This"" Text Message","Default ""What's This"" Text Message"
"Default Popup Text Message","Default Popup Text Message"
"Default Price","Default Price"
"Default Price Navigation Step","Default Price Navigation Step"
"Default Qty","Default Qty"
"Default Values","기본 값"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Delete","삭제"
"Delete Attribute","속성 삭제"
"Delete Attribute Set","속성 그룹 삭제"
"Delete Category","카테고리 삭제"
"Delete Group Price","그룹 가격 삭제"
"Delete Option","옵션 삭제"
"Delete Row","열 삭제"
"Delete Search","검색 삭제"
"Delete Selected Group","선택 그룹 삭제"
"Delete Tier","Delete Tier"
"Delete attribute","속성 삭제"
"Delete category","카테고리 삭제"
"Delete product","상품 삭제"
"Depends on design theme","디자인 테마에 따름"
"Design","디자인"
"Details","상세정보"
"Disabled","비활성화"
"Disallowed file type.","허용되지 않은 파일 타입."
"Display Actual Price","실제 가격 노출"
"Display Page Control","Page Control 노출"
"Display Price Interval as One Price","Display Price Interval as One Price"
"Display Product Count","상품수 표시"
"Display Type","Type 노출"
"Display in Suggested Terms","Display in Suggested Terms"
"Double click on a group to rename it","그룹명을 변경하시려면 더블클릭하시기 바랍니다."
"Double click on above image to view full picture","Double click on above image to view full picture"
"Downloadable Information","다운로드 정보"
"Duplicate","복제"
"Duplicate amount found.","복제된 가격이 있습니다."
"Duplicate website group price customer group.","Duplicate website group price customer group."
"Duplicate website tier price customer group and quantity.","Duplicate website tier price customer group and quantity."
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Edit","편집"
"Edit Attribute Set '%s'","'%s' 속성 그룹 수정"
"Edit Product Attribute","상품 속성 수정"
"Edit Product Attribute ""%s""","""%s"" 상품 속성 수정"
"Edit Search","Edit Search"
"Edit Search '%s'","Edit Search '%s'"
"Edit Set Name","세트명 수정"
"Email","이메일"
"Email to a Friend","친구에게 메일보내기"
"Empty","Empty"
"Enable MAP","지도 활성화"
"Enable Qty Increments","수량 추가 활성화"
"Enable WYSIWYG","WYSIWYG 에디터 활성화"
"Enable for reindexing a big number of SKUs.","Enable for reindexing a big number of SKUs."
"Enabled","Enabled"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"Exclude","Exclude"
"Expand All","Expand All"
"Failed","Failed"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Failed to copy file %s. Please, delete media with non-existing images and try again."
"Failed to move file: %s","Failed to move file: %s"
"Feature Products","Feature Products"
"Field is not complete","항목이 불완전 합니다."
"File options format is not valid.","File options format is not valid."
"File upload failed","파일 업로드가 실패하였습니다"
"Filter model name must be declared.","Filter model name must be declared."
"Filter must be an object. Please set correct filter.","Filter must be an object. Please set correct filter."
"Filterable (no results)","Filterable (no results)"
"Filterable (with results)","Filterable (with results)"
"First Name","성"
"Fixed","Fixed"
"For internal use.","내부 사용명."
"For the last time placed.","For the last time placed."
"Frontend","Frontend"
"Frontend Model","Frontend Model"
"Frontend Properties","Frontend Properties"
"Gallery","Gallery"
"General Information","General Information"
"Get full information about attribute with list of options","Get full information about attribute with list of options"
"Get full information about custom option in product","Get full information about custom option in product"
"Get list of available custom option types","Get list of available custom option types"
"Get list of non-default attributes by product type and attributes set","Get list of non-default attributes by product type and attributes set"
"Get list of possible attribute types","Get list of possible attribute types"
"Get special price","Get special price"
"Global","Global"
"Globally Editable","Globally Editable"
"Go to Home Page","홈페이지 가기"
"Grid","그리드"
"Group add","그룹 추가"
"Group remove","그룹 제거"
"Grouped Product","그룹 상품"
"Groups","그룹"
"Home","Home"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","빈칸으로 하시면 카테고리명이 사용됩니다."
"If empty, the Product Name will be used","빈칸으로 하시면 상품명이 사용됩니다."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","Image"
"Image content is not valid base64 data.","이미지 정보가 base64 data에 유효하지 않습니다."
"Image does not exist.","이미지가 존재하지 않습니다."
"Image file was not found.","이미지 파일을 찾을 수 없습니다."
"Image type and information need to be specified for each store view.","Image type and information need to be specified for each store view."
"In Cart","카트에서"
"In Stock","판매중"
"In stock","판매중"
"Incl. Tax","세금포함"
"Index product and categories URL rewrites","Index product and categories URL rewrites"
"Index product attributes for layered navigation building","Index product attributes for layered navigation building"
"Index product prices","Index product prices"
"Indexed category/products association","Indexed category/products association"
"Info","정보"
"Info Column Options Wrapper","Info Column Options Wrapper"
"Input Type","Input Type"
"Integer","정수형"
"Interval Division Limit","Interval Division Limit"
"Invalid Tier Prices","Invalid Tier Prices"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","Invalid attribute set specified, skipping the record."
"Invalid block: %s.","Invalid block: %s."
"Invalid category IDs.","Invalid category IDs."
"Invalid category.","Invalid category."
"Invalid image file type.","Invalid image file type."
"Invalid image type.","Invalid image type."
"Invalid option ID specified for %s (%s), skipping the record.","Invalid option ID specified for %s (%s), skipping the record."
"Invalid product type specified, skipping the record.","Invalid product type specified, skipping the record."
"Invalid store specified","Invalid store specified"
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
"Invalid tier prices. The product is not associated to the requested website.","Invalid tier prices. The product is not associated to the requested website."
"Inventory","재고"
"Is Default","기본값으로"
"Is Required","필수값으로"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Label","라벨"
"Last Name","성"
"Last Notification","마지막 공지사항"
"Layered Navigation","레이어 네비게이션"
"Learn More","Learn More"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Line %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product does not exist.","Link product does not exist."
"Link to a Specified Category","Link to a Specified Category"
"Link to a Specified Product","Link to a Specified Product"
"List","List"
"List Mode","목록 모드"
"List of Products that are set as New","List of Products that are set as New"
"List of types","List of types"
"Manage Attribute Sets","속성 그룹 관리"
"Manage Attributes","Manage Attributes"
"Manage Catalog Categories","카탈로그 카테고리 관리"
"Manage Categories","카테고리 관리"
"Manage Label / Options","라벨 / 옵션 관리"
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"Manage Product Attributes","Manage Product Attributes"
"Manage Product Sets","Manage Product Sets"
"Manage Products","상품 관리"
"Manage Stock","재고 관리"
"Manage Titles (Size, Color, etc.)","제목 관리 (사이즈, 색상 등)"
"Max Characters","Max Characters"
"Maximal Depth","Maximal Depth"
"Maximum Image Size","Maximum Image Size"
"Maximum Number of Price Intervals","Maximum Number of Price Intervals"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Maximum allowed image size for '%s' is %sx%s px.","Maximum allowed image size for '%s' is %sx%s px."
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters:","Maximum number of characters:"
"Maximum number of price intervals is 100","Maximum number of price intervals is 100"
"Media Image","Media Image"
"Minimum Advertised Price","Minimum Advertised Price"
"Minimum Lines per Page","Minimum Lines per Page"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Minimum Qty for Item\'s Status to be Out of Stock","Minimum Qty for Item\'s Status to be Out of Stock"
"Missing SKU, skipping the record.","Missing SKU, skipping the record."
"More Views","More Views"
"Move","Move"
"Move category in tree","Move category in tree"
"Multi update product","Multi update product"
"Must be in the allowed values list.","Must be in the allowed values list."
"N/A","N/A"
"Name","Name"
"Name in %s","Name in %s"
"New Product","신규 상품"
"New Product Attribute","신규 상품 속성"
"New Products","신규 상품"
"New Products Grid Template","신규 상품 그리드 템플릿"
"New Products List Template","신규 상품 목록 템플릿"
"New Root Category","신규 최상위 카테고리"
"New Search","신규 검색"
"New Set Name","New Set Name"
"New Subcategory","신규 하위 카테고리"
"New products","신규 상품"
"Next","다음"
"No","아니오"
"No image","이미지가 없음"
"No layout updates","레이아웃을 업데이트하지 않음"
"No options of this product are available.","No options of this product are available."
"No product collections found.","No product collections found."
"None","None"
"Not Visible Individually","Not Visible Individually"
"Notify Low Stock RSS","재고부족 알림 RSS"
"Notify for Quantity Below","Notify for Quantity Below"
"Number of Products per Page","페이지당 상품수"
"Number of Products to Display","노출 상품 수"
"Number of Uses","Number of Uses"
"Number of results","결과 수"
"Number of results (For the last time placed)","Number of results (For the last time placed)"
"OK","확인"
"OR","OR"
"Old Price:","예전 가격:"
"On Gesture","On Gesture"
"Option validation failed to add product to cart.","Option validation failed to add product to cart."
"Option values","옵션 값"
"Option:","옵션:"
"Options","옵션"
"Options Control","옵션 조절"
"Options is required","옵션은 필수값 입니다."
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","품절"
"Out of stock","품절"
"PM","PM"
"Page Title Separator","Page Title Separator"
"Parent Category","부모 카테고리"
"Pending","대기"
"Pending Reviews RSS","대기 리뷰 RSS"
"Percentage","퍼센트"
"Please add rows to option.","Please add rows to option."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on the Close Window button if it is not closed automatically.","Please click on the Close Window button if it is not closed automatically."
"Please enter a new group name","신규 그룹명을 입력하세요."
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>"
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
"Please select a static block ...","Please select a static block ..."
"Please select items.","제품을 선택하세요."
"Please select one or more attributes.","하나이상의 속성을 선택하세요."
"Please select product(s).","상품을 선택하세요."
"Please select products for attributes update","속성 수정할 상품을 선택하세요."
"Please set up merge date/time","Please set up merge date/time"
"Please set up merge date/time later then present date","Please set up merge date/time later then present date"
"Please specify date required option(s).","옵션에 날짜를 지정하시기 바랍니다."
"Please specify the number of products, that will not be divided into subintervals.","Please specify the number of products, that will not be divided into subintervals."
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product required option(s).","Please specify the product required option(s)."
"Please specify the product\'s option(s).","Please specify the product\'s option(s)."
"Please specify the product\'s required option(s).","Please specify the product\'s required option(s)."
"Please specify the quantity of product(s).","Please specify the quantity of product(s)."
"Please specify time required option(s).","Please specify time required option(s)."
"Please wait...","Please wait..."
"Position","Position"
"Position in Layered Navigation","Position in Layered Navigation"
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Prev","이전"
"Previous","이전"
"Price","가격"
"Price Navigation Step Calculation","Price Navigation Step Calculation"
"Price Type","가격 타입"
"Price is not available","가능한 가격이 아닙니다."
"Price values for options should be specified in system base currency.","Price values for options should be specified in system base currency."
"Price:","가격:"
"Price: %s","가격: %s"
"Print This Page","이 페이지 출력"
"Product","상품"
"Product API","상품 API"
"Product Alerts","상픔 경고"
"Product Attribute","상품 속성"
"Product Attributes","상품 속성"
"Product Categories","상품 카테고리"
"Product Description","상품 설명"
"Product Extra Info","상품 추가정보"
"Product Flat Data","Product Flat Data"
"Product ID","상품 ID"
"Product Image Placeholders","상품 이미지 플레이스홀더"
"Product Image Watermarks","상품 이미지 워터마크"
"Product Images","상품 이미지"
"Product Images API","Product Images API"
"Product In Websites","Product In Websites"
"Product Info Column","Product Info Column"
"Product Information","상품 정보"
"Product Link Block Template","Product Link Block Template"
"Product Link Inline Template","Product Link Inline Template"
"Product Listing Sort by","상품목록 정렬순서"
"Product Name","상품명"
"Product Prices","상품가격"
"Product Reviews","상품리뷰"
"Product Tags","상품 테그"
"Product Tier Price API","Product Tier Price API"
"Product Type","상품 타입"
"Product URL Suffix","Product URL Suffix"
"Product View Extra Hint","Product View Extra Hint"
"Product attribute sets API","Product attribute sets API"
"Product attributes API","Product attributes API"
"Product collection expected.","Product collection expected."
"Product is not loaded","Product is not loaded"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product types API","Product types API"
"Product with this combination of attributes already associated to configurable.","Product with this combination of attributes already associated to configurable."
"Products","Products"
"Products Comparison List","Products Comparison List"
"Products Information","Products Information"
"Products Reviews","상품 리뷰"
"Products Sitemap","Products Sitemap"
"Products only","상품 전용"
"Products per Page on Grid Allowed Values","그리드에서 페이지당 상품 허용 값"
"Products per Page on Grid Default Value","그리드 기본값에서 페이지당 상품 정보"
"Products per Page on List Allowed Values","리스트에서 페이지당 상품 허용 값"
"Products per Page on List Default Value","Products per Page on List Default Value"
"Properties","Properties"
"Qty","수량"
"Qty Increments","수량 증가"
"Qty Uses Decimals","수량에 소수점 사용"
"Qty for Item's Status to Become Out of Stock","품절 도달 수량"
"Qty:","수량:"
"Quantity","수량"
"Quick Create","빠르게 생성"
"Quick Overview","Quick Overview"
"Quick simple product creation","빠르게 단순 상품 생성"
"Records for ""%s"" store found.","""%s"" 상점이 검색되었습니다."
"Redirect","Redirect"
"Redirect URL","Redirect URL"
"Regular Price:","시중가:"
"Related Products","연관 상품"
"Remove","삭제"
"Remove Product From Websites","웹사이트에서 상품 삭제"
"Remove This Item","이 항목 삭제"
"Remove attribute from attribute set","속성 그룹에서 어트리뷰트 삭제"
"Remove attribute set","속성 그룹 삭제"
"Remove custom option","사용자 옵션 삭제"
"Remove group from attribute set","Remove group from attribute set"
"Remove option","옵션 삭제"
"Remove product assignment","Remove product assignment"
"Remove product image","Remove product image"
"Remove product link","Remove product link"
"Remove value from custom option","Remove value from custom option"
"Rename existing group","Rename existing group"
"Rename group","Rename group"
"Reorganize EAV category structure to flat structure","Reorganize EAV category structure to flat structure"
"Reorganize EAV product structure to flat structure","Reorganize EAV product structure to flat structure"
"Reset","Reset"
"Results","Results"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve list of option values","Retrieve list of option values"
"Retrieve list of product custom options","Retrieve list of product custom options"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve option value info","Retrieve option value info"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Reviews","Reviews"
"Roll Over for preview","Roll Over for preview"
"Root","Root"
"SKU","SKU"
"SKU length should be %s characters maximum.","SKU의 최대길이는 %s 입니다."
"Save","저장"
"Save Attribute","속성 저장"
"Save Attribute Set","속성 그룹 저장"
"Save Category","카테고리 저장"
"Save Search","검색 저장"
"Save and Continue Edit","저장하고 계속 편집하기"
"Saved %d record(s)","Saved %d record(s)"
"Scope","범위"
"Scope must not be changed, because the attribute is used in configurable products.","복합상품에 사용되는 이 속성은 범위가 수정되지 않습니다."
"Search","검색"
"Search Engine Optimizations","검색 엔진 최적화(SEO)"
"Search Information","검색 정보"
"Search Query","Search Query"
"Search Term with such search query already exists.","Search Term with such search query already exists."
"Search Weight","Search Weight"
"Searchable","Searchable"
"See price before order confirmation.","See price before order confirmation."
"Select Category...","Select Category..."
"Select Configurable Attributes ","Select Configurable Attributes "
"Select Product...","Select Product..."
"Select type of option","Select type of option"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","선택된 상품 타입"
"Send Count","Send Count"
"Set Ascending Direction","Set Ascending Direction"
